Codigo,Dominio,Control,Descripcion,Severidad,CVSS_Score,Framework_CIS,Framework_ISO,Framework_NIST,Recursos_Inventario,Region_Principal,Estado_Verificacion,Hallazgo_Encontrado,Cantidad_Afectada,Prioridad,Tiempo_Remediacion_Dias,Esfuerzo_Horas,Responsable,Fecha_Verificacion,Evidencia,Recomendacion
NET-019,NETWORK,Cross-Region Traffic sin Cifrado,Transferencias entre regiones sin cifrado adicional,CRITICA,8.2,N/A,ISO 27001 A.10.1.1,NIST PR.DS-2,Multi-region traffic,5 regiones,Pendiente,,0,1,7,20,,,,Cifrar todo tráfico cross-region con IPSec o TLS
NET-020,NETWORK,Sin Segmentación de Bases de Datos,RDS/DDS accesibles desde múltiples subnets,CRITICA,8.8,CIS 4.6,ISO 27001 A.13.1.3,NIST PR.AC-5,Database subnets,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,7,24,,,,Aislar bases de datos en subnets dedicadas con SG restrictivos
NET-021,NETWORK,VPCs sin Recursos Asociados,VPCs creadas pero sin recursos activos generando costos,MEDIA,4.2,N/A,ISO 27001 A.8.1.1,NIST ID.AM-1,20 VPCs,Multi-region,Pendiente,,0,3,30,4,,,,Eliminar VPCs vacías o documentar justificación para mantenerlas
NET-022,NETWORK,Incumplimiento de Nomenclatura,Recursos de red sin seguir convención de nombres estándar,BAJA,3.5,N/A,ISO 27001 A.12.1.1,NIST ID.AM-1,VPCs/Subnets/SGs,Multi-region,Pendiente,,0,4,60,8,,,,Aplicar nomenclatura estándar: ambiente-region-servicio-recurso
NET-023,NETWORK,Comunicación No Autorizada entre Ambientes,Tráfico detectado entre VPCs de Dev/Test/Prod sin justificación,CRITICA,9.1,CIS 4.6,ISO 27001 A.13.1.3,NIST PR.AC-5,VPC Peering/Routes,Multi-region,Pendiente,,0,1,3,16,,,,Eliminar rutas y peerings no autorizados entre ambientes
NET-024,NETWORK,VPN Site-to-Site sin Redundancia,Conexiones VPN sin túneles redundantes para alta disponibilidad,ALTA,7.3,CIS 2.7,ISO 27001 A.17.1.2,NIST PR.PT-5,VPN Connections,Multi-region,Pendiente,,0,2,14,12,,,,Configurar túneles VPN redundantes con diferentes endpoints
NET-025,NETWORK,VPN con Algoritmos Débiles,VPN usando algoritmos de cifrado obsoletos (3DES/MD5/SHA1),CRITICA,8.4,CIS 2.8,ISO 27001 A.10.1.1,NIST PR.DS-2,VPN Connections,Multi-region,Pendiente,,0,1,7,8,,,,Actualizar a AES-256/SHA256/DH14 mínimo
NET-026,NETWORK,Client VPN sin MFA,Acceso VPN de usuarios sin autenticación multifactor,CRITICA,8.9,CIS 1.2,ISO 27001 A.9.4.2,NIST PR.AC-7,Client VPN,Multi-region,Pendiente,,0,1,3,16,,,,Implementar MFA obligatorio para todas las conexiones Client VPN
NET-027,NETWORK,VPN sin Logs de Conexión,Conexiones VPN sin registro detallado de actividad,ALTA,6.8,CIS 2.9,ISO 27001 A.12.4.1,NIST DE.CM-1,VPN Connections,Multi-region,Pendiente,,0,2,14,6,,,,Habilitar logs detallados de conexiones VPN y enviar a SIEM
NET-028,NETWORK,Direct Connect sin Cifrado,Conexión Direct Connect sin capa adicional de cifrado,ALTA,7.6,N/A,ISO 27001 A.10.1.1,NIST PR.DS-2,Direct Connect,LA-Buenos Aires1,Pendiente,,0,2,14,20,,,,Implementar MACsec o IPSec sobre Direct Connect
NET-029,NETWORK,Direct Connect sin VLAN Segregación,Direct Connect compartiendo VLANs entre ambientes,CRITICA,8.3,N/A,ISO 27001 A.13.1.3,NIST PR.AC-5,Direct Connect,LA-Buenos Aires1,Pendiente,,0,1,7,16,,,,Segregar VLANs por ambiente/criticidad en Direct Connect
NET-030,NETWORK,Direct Connect sin BGP Communities,Rutas BGP sin communities para control granular de tráfico,MEDIA,5.4,N/A,ISO 27001 A.13.2.1,NIST PR.AC-5,Direct Connect,LA-Buenos Aires1,Pendiente,,0,3,30,12,,,,Implementar BGP communities para control de rutas
NET-031,NETWORK,Direct Connect sin Monitoreo,Enlaces Direct Connect sin monitoreo de performance/disponibilidad,ALTA,6.7,N/A,ISO 27001 A.12.1.3,NIST DE.CM-1,Direct Connect,LA-Buenos Aires1,Pendiente,,0,2,14,8,,,,Implementar monitoreo proactivo de enlaces Direct Connect
NET-032,NETWORK,ELB sin Health Checks Personalizados,Load Balancers con health checks básicos no ajustados,MEDIA,5.6,N/A,ISO 27001 A.17.1.1,NIST PR.PT-5,2 ELBs,LA-Buenos Aires1,Pendiente,,0,3,30,4,,,,Configurar health checks específicos por aplicación
NET-033,NETWORK,ELB sin Sticky Sessions Configuradas,ELBs sin persistencia de sesión donde es requerida,MEDIA,4.8,N/A,ISO 27001 A.14.2.5,NIST PR.PT-3,2 ELBs,LA-Buenos Aires1,Pendiente,,0,3,30,6,,,,Configurar sticky sessions según requerimientos de aplicación
NET-034,NETWORK,ELB sin Restricción por IP,Load Balancers accesibles desde cualquier IP sin whitelist,ALTA,7.4,CIS 4.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2 ELBs,LA-Buenos Aires1,Pendiente,,0,2,14,8,,,,Implementar whitelist de IPs en listeners de ELB
NET-035,NETWORK,ELB sin Access Logs,Load Balancers sin logs de acceso habilitados,MEDIA,5.9,CIS 2.5,ISO 27001 A.12.4.1,NIST DE.CM-1,2 ELBs,LA-Buenos Aires1,Pendiente,,0,3,30,4,,,,Habilitar access logs en ELB y enviar a OBS/SIEM
NET-036,NETWORK,ELB sin Cross-Zone Load Balancing,ELBs sin balanceo entre zonas de disponibilidad,MEDIA,5.2,N/A,ISO 27001 A.17.1.2,NIST PR.PT-5,2 ELBs,LA-Buenos Aires1,Pendiente,,0,3,30,4,,,,Habilitar cross-zone load balancing para mejor distribución
NET-037,NETWORK,ELB con Timeouts Incorrectos,Timeouts de idle connection mal configurados,BAJA,3.9,N/A,ISO 27001 A.14.2.5,NIST PR.PT-3,2 ELBs,LA-Buenos Aires1,Pendiente,,0,4,60,3,,,,Ajustar timeouts según características de aplicaciones
NET-038,NETWORK,ELB sin DDoS Protection,Load Balancers sin protección anti-DDoS configurada,ALTA,7.8,N/A,ISO 27001 A.13.1.1,NIST PR.PT-4,2 ELBs,LA-Buenos Aires1,Pendiente,,0,2,14,12,,,,Implementar Anti-DDoS Pro en ELBs públicos
NET-039,NETWORK,Direct Connect sin Backup Path,Conexión Direct Connect sin path de backup configurado,ALTA,7.5,N/A,ISO 27001 A.17.1.2,NIST PR.PT-5,Direct Connect,LA-Buenos Aires1,Pendiente,,0,2,14,24,,,,Configurar VPN backup o segundo Direct Connect
NET-040,NETWORK,Network sin Microsegmentación,Falta de microsegmentación entre servicios críticos,ALTA,7.7,CIS 4.6,ISO 27001 A.13.1.3,NIST PR.AC-5,Network Architecture,Multi-region,Pendiente,,0,2,14,40,,,,Implementar microsegmentación Zero Trust
NET-041,NETWORK,Sin Traffic Inspection Este-Oeste,Tráfico lateral sin inspección de seguridad,ALTA,7.9,N/A,ISO 27001 A.13.1.1,NIST DE.CM-1,Internal Traffic,Multi-region,Pendiente,,0,2,14,32,,,,Implementar inspección de tráfico Este-Oeste con Fortinet
STO-001,STORAGE,Volúmenes EVS sin Cifrado,Volúmenes de almacenamiento sin cifrado habilitado,CRITICA,8.6,CIS 5.1,ISO 27001 A.10.1.1,NIST PR.DS-1,251 EVS,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,7,24,,,,"Habilitar cifrado en todos los volúmenes EVS, especialmente producción"
STO-002,STORAGE,Buckets OBS Públicos,Buckets de Object Storage con acceso público no restringido,CRITICA,9.1,CIS 5.2,ISO 27001 A.13.2.1,NIST PR.AC-3,1 OBS,LA-Santiago,Pendiente,,0,1,3,2,,,,Restringir acceso público en buckets OBS
STO-003,STORAGE,Ausencia de Versionado en OBS,Buckets sin versionado habilitado para protección contra eliminación,MEDIA,5.3,CIS 5.3,ISO 27001 A.12.3.1,NIST PR.IP-4,1 OBS,LA-Santiago,Pendiente,,0,3,30,2,,,,Habilitar versionado en buckets críticos
STO-004,STORAGE,Políticas de Lifecycle Ausentes,Sin políticas de lifecycle para gestión de datos antiguos,BAJA,3.1,CIS 5.4,ISO 27001 A.8.3.3,NIST PR.DS-3,1 OBS,LA-Santiago,Pendiente,,0,4,60,4,,,,Configurar políticas de lifecycle para optimizar costos
STO-005,STORAGE,Access Logging Deshabilitado,Buckets sin logging de acceso habilitado,MEDIA,4.3,CIS 5.5,ISO 27001 A.12.4.1,NIST DE.AE-3,1 OBS,LA-Santiago,Pendiente,,0,3,30,2,,,,Habilitar logging de acceso en buckets OBS
STO-006,STORAGE,KMS Keys sin Rotación,Llaves de cifrado KMS sin política de rotación automática,ALTA,7.1,CIS 5.6,ISO 27001 A.10.1.2,NIST PR.DS-1,KMS Keys,Multi-region,Pendiente,,0,2,14,4,,,,Configurar rotación automática de llaves KMS
STO-007,STORAGE,Snapshots sin Cifrado,Snapshots de volúmenes sin cifrado aplicado,ALTA,7.5,CIS 5.7,ISO 27001 A.10.1.1,NIST PR.DS-1,IMS Snapshots,LA-Santiago,Pendiente,,0,2,14,8,,,,Cifrar todos los snapshots de volúmenes
STO-008,STORAGE,Cross-Region Replication Ausente,Sin replicación cross-region para datos críticos,MEDIA,5.9,N/A,ISO 27001 A.17.1.2,NIST PR.IP-4,OBS/EVS críticos,Single region,Pendiente,,0,3,45,16,,,,Implementar replicación cross-region para datos críticos
STO-009,STORAGE,Backups No Configurados,Recursos sin políticas de backup automático configuradas,ALTA,7.5,N/A,ISO 27001 A.12.3.1,NIST PR.IP-4,112 ECS + 251 EVS,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,7,12,,,,Configurar CSBS/VBS para backups automáticos
STO-010,STORAGE,Vaults de Backup sin Inmutabilidad,CBS/VBS vaults sin protección WORM contra ransomware,CRITICA,9.0,CIS 5.8,ISO 27001 A.12.3.1,NIST PR.PT-5,CBS/VBS Vaults,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,3,8,,,,Activar inmutabilidad (WORM) en todos los vaults de backup críticos
MON-001,MONITORING,Cloud Trace Service No Configurado,CTS no habilitado para todas las regiones y servicios,CRITICA,8.1,CIS 6.1,ISO 27001 A.12.4.1,NIST DE.AE-3,CTS Service,Multi-region,Pendiente,,0,1,3,8,,,,Habilitar CTS en todas las regiones con retención adecuada
MON-002,MONITORING,Retención de Logs Insuficiente,Logs con retención menor a 90 días,ALTA,6.5,CIS 6.2,ISO 27001 A.12.4.2,NIST PR.PT-1,Cloud Eye/CTS,Multi-region,Pendiente,,0,2,7,4,,,,Configurar retención mínima de 90 días para logs
MON-003,MONITORING,Alarmas Críticas No Configuradas,Ausencia de alarmas para eventos de seguridad críticos,ALTA,7.3,CIS 6.3-6.14,ISO 27001 A.16.1.2,NIST DE.CM-7,3 Cloud Eye,Multi-region,Pendiente,,0,2,14,12,,,,"Configurar alarmas para login fallidos, cambios IAM, etc."
MON-004,MONITORING,Log Integrity Validation Ausente,Logs sin validación de integridad mediante hashing,MEDIA,5.3,CIS 6.15,ISO 27001 A.12.4.3,NIST PR.DS-6,CTS Logs,Multi-region,Pendiente,,0,3,30,8,,,,Habilitar validación de integridad en CTS
MON-005,MONITORING,Métricas Customizadas Ausentes,Sin métricas personalizadas para KPIs de seguridad,BAJA,3.1,N/A,ISO 27001 A.12.1.3,NIST DE.CM-1,Cloud Eye,Multi-region,Pendiente,,0,4,60,16,,,,Crear métricas customizadas para seguridad
MON-006,MONITORING,Dashboards de Seguridad Inexistentes,Sin dashboards centralizados para monitoreo de seguridad,MEDIA,4.3,N/A,ISO 27001 A.12.1.3,NIST DE.DP-4,Cloud Eye,Multi-region,Pendiente,,0,3,30,8,,,,Crear dashboards de seguridad en Cloud Eye
MON-007,MONITORING,Integración SIEM Ausente,Logs no integrados con sistema SIEM corporativo,ALTA,6.8,N/A,ISO 27001 A.12.4.1,NIST DE.AE-2,CTS/Cloud Eye,Multi-region,Pendiente,,0,2,21,24,,,,Integrar logs con SIEM corporativo
COMP-001,COMPLIANCE,Política de Seguridad Cloud Ausente,Sin política formal de seguridad para cloud computing,ALTA,7.1,N/A,ISO 27001 A.5.1.1,NIST ID.GV-1,Documentación,Global,Pendiente,,0,2,14,40,,,,Desarrollar y aprobar política de seguridad cloud
COMP-002,COMPLIANCE,Evaluaciones de Riesgo No Realizadas,Ausencia de evaluaciones periódicas de riesgo,ALTA,6.5,N/A,ISO 27001 A.6.1.2,NIST ID.RA-1,Proceso GRC,Global,Pendiente,,0,2,21,32,,,,Implementar proceso de evaluación de riesgos trimestral
COMP-003,COMPLIANCE,Incumplimiento de Frameworks,No alineación con frameworks de seguridad requeridos,MEDIA,5.3,Multiple,Multiple,Multiple,Todos los servicios,Global,Pendiente,,0,3,45,80,,,,Mapear controles actuales contra frameworks requeridos
COMP-004,COMPLIANCE,Auditorías de Seguridad No Programadas,Sin calendario de auditorías de seguridad establecido,MEDIA,4.3,N/A,ISO 27001 A.9.1.1,NIST ID.GV-4,Proceso Auditoría,Global,Pendiente,,0,3,30,16,,,,Establecer calendario anual de auditorías
COMP-005,COMPLIANCE,Gestión de Cambios Inadecuada,Cambios en infraestructura sin proceso formal,MEDIA,5.3,N/A,ISO 27001 A.12.1.2,NIST PR.IP-3,Proceso ITIL,Global,Pendiente,,0,3,30,24,,,,Implementar proceso formal de gestión de cambios
